id,Date,Random,Location,Site,Observer,Depth (m),Visibility (m),Replicate,Interval,Genus,Species,Scientific Name,Count,Size Est (cm)
1,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,moluccensis,Pomacentrus moluccensis,4.0,5.0
2,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,moluccensis,Pomacentrus moluccensis,1.0,6.0
3,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,1.0,5.0
4,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
5,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,1.0,6.0
6,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Stethojulis,strigiventer,Stethojulis strigiventer,1.0,8.0
7,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,2.0,5.0
8,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,4.0,7.0
9,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,2.0,5.0
10,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1.0,8.0
11,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1.0,8.0
12,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,3.0,7.0
13,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,2.0,5.0
14,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,4.0,9.0
15,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,2.0,7.0
16,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Pomacentrus,bankanensis,Pomacentrus bankanensis,1.0,3.0
17,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Stegastes,fasciolatus,Stegastes fasciolatus,1.0,9.0
18,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Chrysiptera,rex,Chrysiptera rex,2.0,4.0
19,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Pomacentrus,coelestis,Pomacentrus coelestis,2.0,3.0
20,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Pomacentrus,coelestis,Pomacentrus coelestis,3.0,3.0
21,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,1.0,6.0
22,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,1.0,7.0
23,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,8.0,7.0
24,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,3.0,6.0
25,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Plectroglyphidodon,dickii,Plectroglyphidodon dickii,4.0,8.0
26,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,8.0
27,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,12.0
28,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,7.0
29,META-25-Mar-23,0,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Halichoeres,marginatus,Halichoeres marginatus,1.0,9.0
30,META-25-Mar-23,1,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Pomacentrus,bankanensis,Pomacentrus bankanensis,2.0,6.0
31,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2.0,8.0
32,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,4.0,7.0
33,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
34,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,2.0,5.0
35,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,1.0,6.0
36,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,coelestis,Pomacentrus coelestis,7.0,3.0
37,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,coelestis,Pomacentrus coelestis,1.0,2.0
38,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Chrysiptera,rex,Chrysiptera rex,5.0,4.0
39,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,5.0,6.0
40,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Thalassoma,lunare,Thalassoma lunare,1.0,9.0
41,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
42,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,1.0,6.0
43,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,3.0,7.0
44,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Halichoeres,melanurus,Halichoeres melanurus,1.0,5.0
45,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Acanthochromis,polyacanthus,Acanthochromis polyacanthus,1.0,10.0
46,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,2.0,5.0
47,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,1.0,7.0
48,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,6.0,6.0
49,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,3.0,3.0
50,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,2.0,2.0
51,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Stethojulis,strigiventer,Stethojulis strigiventer,1.0,13.0
52,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Zanclus,cornutus,Zanclus cornutus,1.0,11.0
53,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,2.0,6.0
54,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,1.0,7.0
55,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,1.0,7.0
56,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,1.0,8.0
57,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
58,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2.0,9.0
59,META-26-Mar-23,0,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Plectroglyphidodon,lacrymatus,Plectroglyphidodon lacrymatus,2.0,7.0
60,META-26-Mar-23,1,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Stegastes,fasciolatus,Stegastes fasciolatus,2.0,8.0
61,META-nan,1,,,,,,,,,,,,
62,META-nan,0,,,,,,,,,,,,
63,META-nan,0,,,,,,,,,,,,
64,META-nan,1,,,,,,,,,,,,
65,META-nan,1,,,,,,,,,,,,
66,META-nan,1,,,,,,,,,,,,
67,META-nan,1,,,,,,,,,,,,
68,META-nan,0,,,,,,,,,,,,
69,META-nan,1,,,,,,,,,,,,
70,META-nan,1,,,,,,,,,,,,
71,META-nan,1,,,,,,,,,,,,
72,META-nan,0,,,,,,,,,,,,
73,META-nan,0,,,,,,,,,,,,
74,META-nan,0,,,,,,,,,,,,
75,META-nan,0,,,,,,,,,,,,
76,META-nan,1,,,,,,,,,,,,
77,META-nan,1,,,,,,,,,,,,
78,META-nan,1,,,,,,,,,,,,
79,META-nan,1,,,,,,,,,,,,
80,META-nan,1,,,,,,,,,,,,
81,META-nan,0,,,,,,,,,,,,
82,META-nan,0,,,,,,,,,,,,
83,META-nan,1,,,,,,,,,,,,
84,META-nan,1,,,,,,,,,,,,
85,META-nan,1,,,,,,,,,,,,
86,META-nan,1,,,,,,,,,,,,
87,META-nan,0,,,,,,,,,,,,
88,META-nan,1,,,,,,,,,,,,
89,META-nan,0,,,,,,,,,,,,
90,META-nan,0,,,,,,,,,,,,
91,META-nan,0,,,,,,,,,,,,
92,META-nan,1,,,,,,,,,,,,
93,META-nan,0,,,,,,,,,,,,
94,META-nan,0,,,,,,,,,,,,
95,META-nan,1,,,,,,,,,,,,
96,META-nan,1,,,,,,,,,,,,
97,META-nan,1,,,,,,,,,,,,
98,META-nan,1,,,,,,,,,,,,
99,META-nan,0,,,,,,,,,,,,
100,META-nan,0,,,,,,,,,,,,
101,META-nan,1,,,,,,,,,,,,
102,META-nan,0,,,,,,,,,,,,
103,META-nan,0,,,,,,,,,,,,
104,META-nan,1,,,,,,,,,,,,
105,META-nan,0,,,,,,,,,,,,
106,META-nan,1,,,,,,,,,,,,
107,META-nan,1,,,,,,,,,,,,
108,META-nan,0,,,,,,,,,,,,
109,META-nan,0,,,,,,,,,,,,
110,META-nan,1,,,,,,,,,,,,
111,META-nan,0,,,,,,,,,,,,
112,META-nan,0,,,,,,,,,,,,
113,META-nan,1,,,,,,,,,,,,
114,META-nan,1,,,,,,,,,,,,
115,META-nan,1,,,,,,,,,,,,
116,META-nan,0,,,,,,,,,,,,
117,META-nan,0,,,,,,,,,,,,
118,META-nan,0,,,,,,,,,,,,
119,META-nan,0,,,,,,,,,,,,
120,META-nan,0,,,,,,,,,,,,
121,META-nan,0,,,,,,,,,,,,
122,META-nan,1,,,,,,,,,,,,
123,META-nan,1,,,,,,,,,,,,
124,META-nan,0,,,,,,,,,,,,
125,META-nan,0,,,,,,,,,,,,
126,META-nan,0,,,,,,,,,,,,
127,META-nan,1,,,,,,,,,,,,
128,META-nan,0,,,,,,,,,,,,
129,META-nan,1,,,,,,,,,,,,
130,META-nan,0,,,,,,,,,,,,
131,META-nan,0,,,,,,,,,,,,
132,META-nan,1,,,,,,,,,,,,
133,META-nan,0,,,,,,,,,,,,
134,META-nan,1,,,,,,,,,,,,
135,META-nan,0,,,,,,,,,,,,
136,META-nan,0,,,,,,,,,,,,
137,META-nan,1,,,,,,,,,,,,
138,META-nan,0,,,,,,,,,,,,
139,META-nan,1,,,,,,,,,,,,
140,META-nan,0,,,,,,,,,,,,
141,META-nan,1,,,,,,,,,,,,
142,META-nan,0,,,,,,,,,,,,
143,META-nan,0,,,,,,,,,,,,
144,META-nan,1,,,,,,,,,,,,
145,META-nan,0,,,,,,,,,,,,
146,META-nan,1,,,,,,,,,,,,
147,META-nan,0,,,,,,,,,,,,
148,META-nan,0,,,,,,,,,,,,
149,META-nan,0,,,,,,,,,,,,
150,META-nan,0,,,,,,,,,,,,
151,META-nan,1,,,,,,,,,,,,
152,META-nan,0,,,,,,,,,,,,
153,META-nan,1,,,,,,,,,,,,
154,META-nan,0,,,,,,,,,,,,
155,META-nan,0,,,,,,,,,,,,
156,META-nan,1,,,,,,,,,,,,
157,META-nan,1,,,,,,,,,,,,
158,META-nan,1,,,,,,,,,,,,
159,META-nan,1,,,,,,,,,,,,
160,META-nan,0,,,,,,,,,,,,
161,META-nan,1,,,,,,,,,,,,
162,META-nan,0,,,,,,,,,,,,
163,META-nan,0,,,,,,,,,,,,
164,META-nan,1,,,,,,,,,,,,
165,META-nan,0,,,,,,,,,,,,
166,META-nan,1,,,,,,,,,,,,
167,META-nan,0,,,,,,,,,,,,
168,META-nan,0,,,,,,,,,,,,
169,META-nan,1,,,,,,,,,,,,
170,META-nan,0,,,,,,,,,,,,
171,META-nan,1,,,,,,,,,,,,
172,META-nan,0,,,,,,,,,,,,
173,META-nan,0,,,,,,,,,,,,
174,META-nan,1,,,,,,,,,,,,
175,META-nan,1,,,,,,,,,,,,
176,META-nan,0,,,,,,,,,,,,
177,META-nan,1,,,,,,,,,,,,
178,META-nan,1,,,,,,,,,,,,
179,META-nan,0,,,,,,,,,,,,
180,META-nan,1,,,,,,,,,,,,
181,META-nan,0,,,,,,,,,,,,
182,META-nan,0,,,,,,,,,,,,
183,META-nan,0,,,,,,,,,,,,
184,META-nan,0,,,,,,,,,,,,
185,META-nan,0,,,,,,,,,,,,
186,META-nan,0,,,,,,,,,,,,
187,META-nan,0,,,,,,,,,,,,
188,META-nan,0,,,,,,,,,,,,
189,META-nan,0,,,,,,,,,,,,
190,META-nan,1,,,,,,,,,,,,
191,META-nan,0,,,,,,,,,,,,
192,META-nan,0,,,,,,,,,,,,
